قلب الحوت الأزرق كبير جداً لدرجة أن الإنسان يمكنه السباحة داخل شرايينه	قلب الحوت الأزرق كبير جداً لدرجة أن الإنسان يمكنه السباحة داخل شرايينه
العسل هو الطعام الوحيد الذي لا يفسد أبداً، وُجد عسل صالح للأكل في مقابر الفراعنة	العسل هو الطعام الوحيد الذي لا يفسد أبداً، وُجد عسل صالح للأكل في مقابر الفراعنة
الأخطبوط لديه ثلاثة قلوب، ودمه لونه أزرق	
اليوم الواحد في كوكب الزهرة أطول من سنة كاملة على نفس الكوكب	
الفراشات تذوق الأشياء بأقدامها وليس بلسانها	
صوت البطة لا يردد الصدى، ولا أحد يعرف السبب العلمي الأكيد لذلك حتى الآن	
القطة تمتلك 32 عضلة في كل أذن	
الفيل هو الحيوان الوحيد الذي لا يستطيع القفز 	
لسان الحوت الأزرق يزن أكثر من وزن فيل كامل	
النمل لا ينام أبداً، وليس لديه رئات	
بصمات أصابع الكوالا تتشابه مع بصمات البشر لدرجة يصعب التفريق بينهما	
الكنغر لا يستطيع المشي للخلف	
التمساح لا يستطيع إخراج لسانه من فمه	
لسان الزرافة لونه أزرق داكن ويصل طوله إلى 50 سم	
عين النعامة أكبر من دماغها	
الخنزير هو الحيوان الوحيد الذي لا يمكنه النظر إلى السماء	
الولاعة اختُرعت قبل أعواد الثقاب	
النوم يحرق سعرات حرارية أكثر من مشاهدة التلفاز	
الرجال ينسون أسرع من النساء، بينما تمتلك النساء ذاكرة عاطفية أقوى	
فرس البحر هو الحيوان الوحيد الذي يحمل فيه الذكر ويضع الصغار	
الدلفين ينام بعين واحدة مفتوحة ونصف دماغ مستيقظ	
الذهب الخالص لين جداً لدرجة أنه يمكن تشكيله باليد	
التفاح أكثر فاعلية من الكافيين في إيقاظك في الصباح	
مخترع آلة "الغاز" للإعدام كان طبيب أسنان	
بصمة اللسان تختلف من شخص لآخر مثل بصمات الأصابع	
برج إيفل يزداد طوله في الصيف بسبب تمدد الحديد بالحرارة	
الغراب يستطيع تمتع بذاكرة قوية تمكنه من تذكر وجوه البشر لسنوات	
ضوء الشمس يستغرق حوالي 8 دقائق و20 ثانية ليصل إلى الأرض	
جسم الإنسان يحتوي على كمية كربون تكفي لصنع 9000 قلم رصاص	
الحلزون يمكنه النوم لمدة ثلاث سنوات متواصلة	
عدد النجوم في الكون أكثر من عدد حبات الرمل على كوكب الأرض	
الكوكب الذي يمطر ألماس هو كوكب المشتري وزحل	
الحبار العملاق لديه أكبر عين في العالم	
فرس النهر يفرز مادة حمراء تعمل كواقي شمس ومرطب لبشرته	
الغزال ليس لديه مرارة (حوصلة صفراوية)	
النسور لا تموت، بل تنتحر بسبب المرض	
الهامستر يمكنه تخزين طعام يعادل نصف وزن جسمه في خدوده	
الدجاجة هي أقرب الأقارب الأحياء للديناصور "تي ريكس	
الصرصور يمكنه العيش لأسابيع بدون رأسه	
عظام القطة في ذيلها تمثل 10% من إجمالي عدد عظام جسمها	
البومة تستطيع تدوير رأسها بزاوية 270 درجة	
البعوض يفضل لدغ الأشخاص الذين فصيلة دمهم O	
الحمار يمكنه رؤية حوافره الأربعة في وقت واحد	
النسر يستطيع رؤية أرنب من مسافة 3 كيلومترات	
قلب الإنسان ينبض حوالي 100 ألف مرة في اليوم	
الضحك لمدة 15 دقيقة يعادل فائدة النوم لمدة ساعتين	
الأنف والأذن هما العضوان الوحيدان اللذان لا يتوقفان عن النمو	
العطس بقوة قد يؤدي إلى كسر ضلع في جسم الإنسان	
من المستحيل أن تعطس وعيناك مفتوحتان	
السعرات الحرارية التي تحرقها في قراءة كتاب أكثر من التي تحرقها في السكوت	
بصمة الأنف لدى الكلاب فريدة وتستخدم للتعرف عليها مثل بصمة الإنسان	
الموز يعتبر من الأعشاب، بينما الطماطم تعتبر من الفواكه	
الفراولة هي الفاكهة الوحيدة التي تحمل بذورها على سطحها الخارجي	
البطيخ يحتوي على 92% من الماء	
أطول رحلة طيران لدجاجة سجلت كانت 13 ثانية فقط	
أول من استخدم الورق هم الصينيون	
سور الصين العظيم هو البناء الوحيد الذي يمكن رؤيته من الفضاء بالعين المجردة	
اليابان تتكون من أكثر من 6000 جزيرة	
القهوة كانت تسمى قديماً "خمر العرب"	
لغة الماندرين (الصينية) هي الأكثر انتشاراً في العالم	
الزمرد أغلى من الألماس في بعض الحالات لندرته	
الماس لا يتحطم إلا بماس مثله أو بحرارة عالية جداً	
الفضة تقتل البكتيريا، لذا كانت تستخدم في صنع الأواني قديماً	
النمل لديه القدرة على حمل أشياء تزن 50 ضعف وزن جسمه	
أطول شجرة في العالم يصل طولها لأكثر من 115 متراً	
الورقة لا يمكن طيها نصفين أكثر من 7 مرات مهما كان حجمها	
المشروبات الغازية كانت تستخدم قديماً كعلاج للأمراض	
أول رسالة نصية (SMS) في التاريخ كانت "عيد ميلاد مجيد"	
"جوجل" كان اسمه الأصلي "Backrub"	
الفئران تخاف من رائحة النعناع	
